Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Jamaica,JAM,46.7,46.6,46.6,46.5,41.1,35.3,33.1,33.1,35.1,35.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Japan,JPN,..,..,..,48.7,50.3,50.4,48.8,47.4,46.7,46.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Jordan,JOR,31.2,28.2,28.6,29.1,29,29.5,27.6,28.1,28.6,28.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Kazakhstan,KAZ,29.8,29,29,28.9,28.9,29.2,29.2,29.2,29.4,28.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Kenya,KEN,49.3,48.9,43.7,37.4,37.1,37.1,37.4,37.4,37.2,37.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Kiribati,KIR,31.8,31.8,31.8,32.7,32.7,32.7,32.7,32.7,32.7,32.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,"Korea, Rep.",KOR,30.2,34.1,34,33.4,33.2,33.2,33.1,33.1,33.1,33.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Kosovo,XKX,16.5,15.8,15.6,15.4,15.4,15.2,15.2,15.2,15.2,15.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Kuwait,KWT,10.7,10.7,12.4,12.4,12.8,13,13,13,13,13
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Kyrgyz Republic,KGZ,30.6,33.4,33.4,29,29,29,29,29,29,29
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Lao PDR,LAO,31.4,31.4,31.4,26.3,25.8,25.3,26.2,26.2,24.1,24.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Latvia,LVA,37.5,37,35.8,35,35,35.9,35.9,35.9,36,38.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Lebanon,LBN,30.6,30.6,30.6,30,30.3,30.3,30.3,30.3,31.1,32.2
